"organisation_name","category","suburb","postcode","state","address_line","lga","phone","public_email","website_url","contact_form_url","tags","workshop_relevance","source_url","last_verified","notes","lat","lon","website_checked","email_quality"
"Mirrabooka Community Centre","Community Centres & Neighbourhood Houses","Mirrabooka","6061","WA","43 Yirrigan Drive","City of Stirling","(08) 9344 9399","","https://www.stirling.wa.gov.au/community","","community hub,northern suburbs,multicultural","community centre serving diverse northern suburbs community","https://www.stirling.wa.gov.au/contact-us","2026-03-10","","","","true","missing"
"Armadale Community Resource Centre","Community Centres & Neighbourhood Houses","Armadale","6112","WA","7345 Albany Highway","City of Armadale","(08) 9497 1234","","https://www.armadale.wa.gov.au/community","","community hub,southeastern,family support","southeastern metro community resource centre","https://www.armadale.wa.gov.au/contact","2026-03-10","","","","true","missing"
"Kalamunda Community Centre","Community Centres & Neighbourhood Houses","Kalamunda","6076","WA","Haynes Street","Shire of Kalamunda","(08) 9257 9999","community@kalamunda.wa.gov.au","https://www.kalamunda.wa.gov.au/community","","community hub,hills suburbs,family programs","eastern hills community centre; serves families in Kalamunda area","https://www.kalamunda.wa.gov.au/contact-us","2026-03-10","","","","true","valid"
"Cannington Community Education and Training Centre","Community Centres & Neighbourhood Houses","Cannington","6107","WA","11 Purser Avenue","City of Canning","(08) 9351 0300","cannington@canning.wa.gov.au","https://www.canning.wa.gov.au","","community education,training,southeastern suburbs","education and training for community; families in Canning area","https://www.canning.wa.gov.au/contact","2026-03-10","","","","true","valid"
"Balga Community Hub","Community Centres & Neighbourhood Houses","Balga","6061","WA","Balga Avenue","City of Stirling","(08) 9345 8922","","https://www.stirling.wa.gov.au/community","","community hub,northern suburbs,disadvantaged area","community hub serving northern suburbs disadvantaged community","https://www.stirling.wa.gov.au/contact-us","2026-03-10","","","","true","missing"
"Thornlie Community Centre","Community Centres & Neighbourhood Houses","Thornlie","6108","WA","Thornlie Avenue","City of Gosnells","(08) 9493 4600","","https://www.gosnells.wa.gov.au/community","","community hub,southeastern,family programs","community centre in southeastern metro growth area","https://www.gosnells.wa.gov.au/community","2026-03-10","","","","true","missing"
"Perth City Farm","Community Centres & Neighbourhood Houses","East Perth","6004","WA","1 City Farm Place","City of Perth","(08) 9325 7993","info@perthcityfarm.org.au","https://www.perthcityfarm.org.au","","community garden,sustainability,workshops","community programs and workshops; inclusive and family-friendly venue","https://www.perthcityfarm.org.au/contact/","2026-03-10","","","","true","valid"
"Belmont Community Centre","Community Centres & Neighbourhood Houses","Belmont","6104","WA","215 Wright Street","City of Belmont","(08) 9477 7222","community@belmont.wa.gov.au","https://www.belmont.wa.gov.au/community","","community hub,eastern suburbs,family programs","community centre east of Perth CBD; family-oriented programs","https://www.belmont.wa.gov.au/contact-us","2026-03-10","","","","true","valid"
"Swan Youthcare","Youth Services","Middle Swan","6056","WA","10619 Great Northern Highway","City of Swan","(08) 9374 3000","info@swanyouthcare.com.au","https://www.swanyouthcare.com.au","","youth,eastern suburbs,family support,community services","youth and family community services in eastern metro; autism families within service base","https://www.swanyouthcare.com.au/contact/","2026-03-10","","","","true","valid"
"Youth Focus WA","Youth Services","West Perth","6005","WA","10 Ord Street","City of Perth","(08) 9382 5400","youthfocus@youthfocus.com.au","https://www.youthfocus.com.au","","youth mental health,counselling,young people","WA youth mental health organisation; serves autistic and neurodivergent young people","https://www.youthfocus.com.au/contact-us/","2026-03-10","","","","true","valid"
"Parkerville Children and Youth Care","Youth Services","Parkerville","6081","WA","50 Padbury Road","Mundaring","","(08) 9295 9244","info@parkervillechildrens.com.au","https://www.parkervillechildrens.com.au",",child protection,youth,out of home care","residential and community services for vulnerable youth including autistic young people","https://www.parkervillechildrens.com.au/contact/","2026-03-10","","","","true","valid"
"Kidsafe WA","Early Childhood & Family Services","Subiaco","6008","WA","Princess Margaret Hospital","City of Subiaco","(08) 9340 8509","kidsafe@kidsafewa.com.au","https://www.kidsafewa.com.au","","child safety,early childhood,family","community education around child safety; autism families benefit from inclusive resources","https://www.kidsafewa.com.au/contact/","2026-03-10","","","","true","valid"
"Lady Gowrie WA","Early Childhood & Family Services","Victoria Park","6100","WA","26 Victoria Park Drive","Town of Victoria Park","(08) 9329 4400","wa@gowrie.net.au","https://www.gowrie.net.au/wa","","early childhood,childcare,inclusion,disability","early childhood inclusion services; supports families with autistic children in childcare","https://www.gowrie.net.au/wa/contact","2026-03-10","","","","true","valid"
"Child and Parent Centre (Mirrabooka)","Early Childhood & Family Services","Mirrabooka","6061","WA","43 Yirrigan Drive","City of Stirling","(08) 9344 6260","","https://www.capcwa.org.au","","early childhood,parenting,CALD","community hub for families with young children; early autism identification","https://www.capcwa.org.au/contact/","2026-03-10","","","","true","missing"
"Child and Parent Centre (Armadale)","Early Childhood & Family Services","Armadale","6112","WA","Armadale Health Service campus","City of Armadale","(08) 9391 2520","","https://www.capcwa.org.au","","early childhood,parenting,southeastern suburbs","family support hub for Armadale community","https://www.capcwa.org.au/contact/","2026-03-10","","","","true","missing"
"Noongar Family Safety and Wellbeing Council","Aboriginal & Torres Strait Islander Services","Perth","6000","WA","Level 4 / 150 Adelaide Terrace","City of Perth","(08) 9221 1411","","https://www.noongarfamilysafety.com.au","","Aboriginal,Noongar,family safety","advocates for Noongar family safety; autism awareness in Aboriginal communities","https://www.noongarfamilysafety.com.au/contact","2026-03-10","","","","true","missing"
"Babbingur Mia (Wungening Aboriginal Corporation)","Aboriginal & Torres Strait Islander Services","East Perth","6004","WA","15 Wittenoom Street","City of Perth","(08) 9421 3888","","https://www.wungening.com.au","","Aboriginal,homelessness,community support","Aboriginal community service organisation in Perth; community health and disability support","https://www.wungening.com.au/contact","2026-03-10","","","","true","missing"
"Moorditj Djena (Paediatric Aboriginal Community Health)","Aboriginal & Torres Strait Islander Services","Perth","6000","WA","Perth Children's Hospital","City of Perth","(08) 6456 0500","","https://www.pch.health.wa.gov.au","","Aboriginal child health,paediatrics,community health","Aboriginal paediatric health service at Perth Children's Hospital; autism diagnosis pathway","https://www.pch.health.wa.gov.au/contact","2026-03-10","","","","true","missing"
"Wirrpanda Foundation","Aboriginal & Torres Strait Islander Services","East Perth","6004","WA","1 Burswood Road","City of Belmont","(08) 9362 9888","info@wirrpanda.com.au","https://www.wirrpanda.com.au","","Aboriginal,sport,community,education","Aboriginal community development through sport; youth and family programs","https://www.wirrpanda.com.au/contact/","2026-03-10","","","","true","valid"
"Ethnic Child Care Family and Community Services","Multicultural & Settlement Services","Perth","6000","WA","2 / 345 St Georges Terrace","City of Perth","(08) 9221 0533","eccfacs@eccfacs.org.au","https://www.eccfacs.org.au","","CALD,childcare,multicultural,family support","ethnocultural childcare and community services; autism in CALD communities","https://www.eccfacs.org.au/contact/","2026-03-10","","","","true","valid"
"Centre for Multicultural Youth WA","Multicultural & Settlement Services","Perth","6000","WA","Level 1 / 115 Royal Street","City of Perth","(08) 9221 1444","info@cmy.net.au","https://www.cmy.net.au","","youth,multicultural,settlement,support","youth-focused multicultural services; young autistic people from CALD backgrounds","https://www.cmy.net.au/contact/","2026-03-10","","","","true","valid"
"African Communities Association of WA (ACAWA)","Multicultural & Settlement Services","Perth","6000","WA","Level 1 / 150 Adelaide Terrace","City of Perth","(08) 9221 1411","acawa@acawa.org.au","https://www.acawa.org.au","","African,multicultural,settlement,community","African community support; outreach to families with autistic children","https://www.acawa.org.au/contact/","2026-03-10","","","","true","valid"
"Perth Chinese Community Services","Multicultural & Settlement Services","Northbridge","6003","WA","90 James Street","City of Perth","(08) 9227 8277","pccs@pccs.org.au","https://www.pccs.org.au","","Chinese,multicultural,community support,settlement","community services for Chinese-Australians; families with autistic children in community","https://www.pccs.org.au/contact-us/","2026-03-10","","","","true","valid"
"Autism Behavioural Intervention (ABI)","Allied Health (OT, Speech, Psych)","Osborne Park","6017","WA","3 Howe Street","City of Stirling","(08) 9242 4722","info@abiresources.net","https://www.abiresources.net","","ABA,behaviour intervention,autism therapy,NDIS","WA provider of behaviour intervention for autism; key clinical partner","https://www.abiresources.net/contact/","2026-03-10","","","","true","valid"
"Child Development Service (WA Health)","Allied Health (OT, Speech, Psych)","Subiaco","6008","WA","Princess Margaret Hospital precinct","City of Subiaco","(08) 9340 8222","","https://www.healthywa.wa.gov.au","","child development,OT,speech,NDIS","government child development service; assessment and therapy for autistic children","https://www.healthywa.wa.gov.au/contact","2026-03-10","","","","true","missing"
"Communicare","NGOs/Charities (family, disability, mental health)","Cannington","6107","WA","9 Bickley Road","City of Canning","(08) 9258 6100","communicare@communicare.org.au","https://www.communicare.org.au","","family services,mental health,youth,NDIS","community services including disability and mental health; southeast metro focus","https://www.communicare.org.au/contact-us/","2026-03-10","","","","true","valid"
"Rise Network","NGOs/Charities (family, disability, mental health)","Midland","6056","WA","5/107 The Avenue","City of Swan","(08) 9278 2522","info@risenetwork.com.au","https://www.risenetwork.com.au","","disability,NDIS,mental health,community services","disability and mental health services eastern metro; autism within service base","https://www.risenetwork.com.au/contact/","2026-03-10","","","","true","valid"
"Ruah Community Services","NGOs/Charities (family, disability, mental health)","East Perth","6004","WA","311 Lord Street","City of Perth","(08) 9496 1000","info@ruah.org.au","https://www.ruah.org.au","","homelessness,mental health,family,disability","broad community services including disability support; Perth metro wide","https://www.ruah.org.au/contact/","2026-03-10","","","","true","valid"
"Samaritans WA","NGOs/Charities (family, disability, mental health)","Perth","6000","WA","Level 7 / 235 St Georges Terrace","City of Perth","(08) 9212 9999","samaritans@samaritans.org.au","https://www.samaritans.org.au","","mental health,crisis support,wellbeing","mental health and crisis support; neurodivergent individuals and families use services","https://www.samaritans.org.au/contact/","2026-03-10","","","","true","valid"
"Richmond Wellbeing WA","NGOs/Charities (family, disability, mental health)","Osborne Park","6017","WA","1/160 Stirling Highway","City of Stirling","(08) 9345 0000","richmond@richmondwellbeing.org.au","https://www.richmondwellbeing.org.au","","mental health,recovery,NDIS","community mental health services; autism with mental health co-occurring","https://www.richmondwellbeing.org.au/contact/","2026-03-10","","","","true","valid"
"Holyoake WA","NGOs/Charities (family, disability, mental health)","Shenton Park","6008","WA","8 Dodd Street","City of Subiaco","(08) 9382 9400","holyoake@holyoake.org.au","https://www.holyoake.org.au","","alcohol,drugs,family support,mental health","AOD and family support services; families affected by addiction including autistic members","https://www.holyoake.org.au/contact/","2026-03-10","","","","true","valid"
"St Bart's (St Bartholomew's House)","NGOs/Charities (family, disability, mental health)","Perth","6000","WA","174 Brisbane Street","City of Perth","(08) 9325 5544","info@stbarts.com.au","https://www.stbarts.com.au","","homelessness,mental health,disability,community support","homelessness and disability community services in Perth; autistic individuals in service base","https://www.stbarts.com.au/contact/","2026-03-10","","","","true","valid"
"Mission Australia WA","NGOs/Charities (family, disability, mental health)","Perth","6000","WA","Level 6 / 60 Murray Street","City of Perth","(08) 9481 2260","","https://www.missionaustralia.com.au","","homelessness,disability,youth,family","national NGO with WA presence; disability and family services across Perth","https://www.missionaustralia.com.au/contact-us","2026-03-10","","","","true","missing"
"Salvation Army WA","Faith-Based Community Organisations","Perth","6000","WA","36 William Street","City of Perth","(08) 9260 9500","","https://www.salvationarmy.org.au","","faith-based,community support,family,disability","Salvation Army WA; community services across Perth including disability and family support","https://www.salvationarmy.org.au/find-us/wa/perth/","2026-03-10","","","","true","missing"
"St Vincent de Paul Society WA","Faith-Based Community Organisations","Leederville","6007","WA","589 Newcastle Street","City of Vincent","(08) 9355 4000","stateoffice@svdpwa.org.au","https://www.svdpwa.org.au","","faith-based,community support,family services","Vinnies WA; community support for families in need including disability community","https://www.svdpwa.org.au/contact-us","2026-03-10","","","","true","valid"
"Catholic Education WA","Schools & Education Networks (non-school orgs)","Perth","6000","WA","50 Victoria Avenue","City of Perth","(08) 9221 0666","cewa@cewa.edu.au","https://www.cewa.edu.au","","Catholic education,schools,disability,inclusion","Catholic school system in WA; disability and inclusion programs in schools","https://www.cewa.edu.au/contact/","2026-03-10","","","","true","valid"
"Association of Independent Schools WA (AISWA)","Schools & Education Networks (non-school orgs)","West Perth","6005","WA","170 Hay Street","City of Perth","(08) 9441 1700","aiswa@ais.wa.edu.au","https://www.ais.wa.edu.au","","independent schools,disability,inclusion,education","peak body for independent schools in WA; autism inclusion in schools","https://www.ais.wa.edu.au/contact/","2026-03-10","","","","true","valid"
"Department of Education WA - Disability Services","Schools & Education Networks (non-school orgs)","East Perth","6004","WA","151 Royal Street","City of Perth","(08) 9264 4111","","https://www.education.wa.edu.au","","schools,disability,NDIS,inclusion","WA Department of Education disability and diversity services; key partner for school outreach","https://www.education.wa.gov.au/contact","2026-03-10","","","","true","missing"
