"organisation_name","category","suburb","postcode","state","address_line","lga","phone","public_email","website_url","contact_form_url","tags","workshop_relevance","source_url","last_verified","notes","lat","lon","website_checked","email_quality"
"Multicultural Hub Canberra (Theo Notaras Centre)","Multicultural & Settlement Services","Canberra City","2601","ACT","Level 2 180 London Circuit, Unincorporated ACT","02 6100 4611","info@mhub.org.au","https://mhub.org.au","https://mhub.org.au/contact-us/","multicultural;settlement;migrant;refugee;community","Leading multicultural services hub — valuable for reaching CALD families who may have autistic children and need culturally appropriate support.","https://mhub.org.au/contact-us/","2026-03-10","Also known as Theo Notaras Multicultural Centre. Over 45 years of service.","","","","true","valid"
"ADACAS (ACT Disability Aged & Carer Advocacy Service)","Disability & NDIS Services","Weston","2611","ACT","Unit 14/6 Gritten Street, Unincorporated ACT","02 6242 5060","adacas@adacas.org.au","https://adacas.org.au","https://adacas.org.au/contact/","disability;advocacy;NDIS;aged care;carers","Provides free individual advocacy for people with disability — key referral pathway for families navigating NDIS and seeking autism workshop information.","https://adacas.org.au/contact/","2026-03-10","Independent advocacy — also covers mental health and aged care.","","","","true","valid"
"Carers ACT","Parent/Carer Support Organisations","Holt","2615","ACT","2/80 Beaurepaire Crescent, Unincorporated ACT","02 6296 9900","support.groups@carersact.org.au","https://www.carersact.org.au","https://www.carersact.org.au/contact/","carers;family;disability;respite;Carer Gateway","Dedicated carer support organisation — a direct link to parents and carers of autistic people who need workshop information and peer support.","https://www.carersact.org.au/contact/","2026-03-10","Official Carer Gateway service delivery partner for ACT.","","","","true","valid"
"Canberra PCYC (Erindale)","Youth Services","Wanniassa","2903","ACT","17 Gratton Court, Unincorporated ACT","02 6296 7822","erindale@pcyc.net.au","https://www.pcyc.net.au","https://www.pcyc.net.au/contact-pcyc","youth;police;community;fitness;sport","Youth-focused community club with wide reach across Tuggeranong — a good venue partner and promotional channel for autism-related youth workshops.","https://www.pcyc.net.au/contact-pcyc","2026-03-10","Police Citizens Youth Club — community sport and wellbeing programs.","","","","true","valid"
"The Y Canberra Region (YMCA)","Sport, Recreation & Inclusion Programs","Deakin","2600","ACT","25 Geils Court, Unincorporated ACT, 02 6242 4040","admin.canberra@ymca.org.au","https://ymcacanberra.org.au","https://ymcacanberra.org.au/contact-the-y/","YMCA;youth;sport;community;inclusion","Runs community","youth and fitness programs across ACT — a high-traffic venue network for autism workshop advertising and referrals.","https://ymcacanberra.org.au/contact-the-y/","2026-03-10","Also operates OSHC and community programs across ACT.","","","","true","valid"
"Libraries ACT (Network)","Councils & Libraries","Canberra City","2601","ACT","Civic Square London Circuit, Unincorporated ACT","02 6205 9000","Library.customerinfo@act.gov.au","https://www.library.act.gov.au","https://www.library.act.gov.au/contact-us","library;community;free events;information;literacy","Public library network with 9 branches across ACT — high-visibility community venues ideal for hosting or promoting autism workshops and information sessions.","https://www.library.act.gov.au/contact-us","2026-03-10","Network of 9 branches including Civic; Dickson; Gungahlin; Kingston; Kippax; Tuggeranong; Erindale.","","","","true","valid"
"Gungahlin Library (Libraries ACT)","Councils & Libraries","Gungahlin","2912","ACT","Corner Hibberson Street and Gozzard Street, Unincorporated ACT","02 6205 9000","Library.customerinfo@act.gov.au","https://www.library.act.gov.au/find-us","","library;Gungahlin;community;events;north Canberra","Growing north Canberra suburb library — ideal for reaching new families in Gungahlin for autism workshop promotion.","https://www.library.act.gov.au/find-us","2026-03-10","Part of Libraries ACT network.","","","","true","valid"
"Tuggeranong Library (Libraries ACT)","Councils & Libraries","Greenway","2900","ACT","Cowlishaw Street Tuggeranong, Unincorporated ACT","02 6205 9000","Library.customerinfo@act.gov.au","https://www.library.act.gov.au/find-us","","library;Tuggeranong;community;events;south Canberra","Serves large south Canberra population — strong community reach for autism workshop information distribution.","https://www.library.act.gov.au/find-us","2026-03-10","Part of Libraries ACT network.","","","","true","valid"
"Dickson Library (Libraries ACT)","Councils & Libraries","Dickson","2602","ACT","Off Antill Street Dickson shops, Unincorporated ACT","02 6205 9000","Library.customerinfo@act.gov.au","https://www.library.act.gov.au/find-us","","library;Dickson;inner north;community","Inner-north Canberra library branch — centrally located for reaching families in Dickson and surrounding suburbs.","https://www.library.act.gov.au/find-us","2026-03-10","Part of Libraries ACT network.","","","","true","valid"
"Kingston Library (Libraries ACT)","Councils & Libraries","Kingston","2604","ACT","54 Giles Street, Unincorporated ACT","02 6205 9000","Library.customerinfo@act.gov.au","https://www.library.act.gov.au/find-us","","library;Kingston;inner south;community","Inner-south Canberra library — reach to families in Kingston and Narrabundah area for autism workshop promotion.","https://www.library.act.gov.au/find-us","2026-03-10","Part of Libraries ACT network.","","","","true","valid"
"Kippax Library (Libraries ACT)","Councils & Libraries","Holt","2615","ACT","Hardwick Crescent Holt, Unincorporated ACT","02 6205 9000","Library.customerinfo@act.gov.au","https://www.library.act.gov.au/find-us","","library;Belconnen;Holt;community;west Canberra","Belconnen district library serving west Canberra families — useful channel for autism workshop promotion in that corridor.","https://www.library.act.gov.au/find-us","2026-03-10","Part of Libraries ACT network.","","","","true","valid"
"Erindale Library (Libraries ACT)","Councils & Libraries","Wanniassa","2903","ACT","McBryde Crescent Wanniassa, Unincorporated ACT","02 6205 9000","Library.customerinfo@act.gov.au","https://www.library.act.gov.au/find-us","","library;Wanniassa;south Canberra;community","Serves Tuggeranong and surrounding suburbs — good venue for community autism information events.","https://www.library.act.gov.au/find-us","2026-03-10","Part of Libraries ACT network.","","","","true","valid"
"Gungahlin Child and Family Centre","Early Childhood & Family Services","Gungahlin","2912","ACT","51 Ernest Cavanagh Street, Unincorporated ACT","02 6207 0120","childandfamilycentres@act.gov.au","https://www.act.gov.au/community/families/child-and-family-centres","","early childhood;family;child development;parenting;ACT Government","ACT Government early childhood hub — serves families with young children including those receiving early autism diagnoses.","https://www.act.gov.au/community/families/child-and-family-centres/gungahlin-child-and-family-centre","2026-03-10","ACT Government operated. Services families with children up to 8 years.","","","","true","valid"
"Tuggeranong Child and Family Centre","Early Childhood & Family Services","Greenway","2900","ACT","159 Anketell Street, Unincorporated ACT","02 6207 8228","childandfamilycentres@act.gov.au","https://www.act.gov.au/community/families/child-and-family-centres","","early childhood;family;Tuggeranong;parenting;child development","ACT Government family hub serving south Canberra — a direct link to families with young children who may be seeking autism early intervention.","https://www.act.gov.au/community/families/child-and-family-centres","2026-03-10","ACT Government operated. Services families with children up to 8 years.","","","","true","valid"
"West Belconnen Child and Family Centre","Early Childhood & Family Services","Holt","2615","ACT","6 Luke Street, Unincorporated ACT","02 6205 2904","childandfamilycentres@act.gov.au","https://www.act.gov.au/community/families/child-and-family-centres","","early childhood;family;Belconnen;parenting;child development","ACT Government hub for west Belconnen families — important touchpoint for families with young autistic children in that area.","https://www.act.gov.au/community/families/child-and-family-centres","2026-03-10","ACT Government operated.","","","","true","valid"
"AEIOU Foundation Canberra","Early Childhood & Family Services","Garran","2605","ACT","Garran (Woden Valley area), Unincorporated ACT","02 6189 5678","","https://aeiou.org.au","https://aeiou.org.au/contact","autism;early intervention;children;NDIS;early childhood","Specialist autism early intervention service for young children — a direct partner organisation for autism workshop outreach to families in ACT.","https://aeiou.org.au/centre-location/aeiou-canberra-17","2026-03-10","NDIS-registered. Offers early intervention program; private therapy; and supported childcare.","","","","true","missing"
"ACT Down Syndrome & Intellectual Disability Association","Disability & NDIS Services","Pearce","2607","ACT","Building 2 Level 1 Pearce Community Centre Collett Place, Unincorporated ACT","02 6290 0656","admin@actdsa.org.au","https://www.downsyndrome.org.au/act","","disability;intellectual disability;Down syndrome;family;advocacy","Supports families of people with intellectual disabilities — natural ally for autism workshop promotion given overlapping support needs.","https://www.downsyndrome.org.au/act/","2026-03-10","Peak body for Down syndrome and intellectual disability in ACT.","","","","true","valid"
"Autism Canberra Psychology Centre","Allied Health (OT, Speech, Psych)","Gungahlin","2912","ACT","89 & 111a Anthony Rolfe Avenue, Unincorporated ACT","02 5110 9949","reception@autismcanberra.com.au","https://autismcanberra.com.au","","psychology;autism assessment;therapy;Gungahlin;allied health","Specialist autism psychology service — high relevance for workshop referrals and collaboration on autism awareness events in ACT.","https://autismcanberra.com.au/","2026-03-10","Provides psychological assessment and therapy for autism.","","","","true","valid"
"Barnardos Australia Canberra","Early Childhood & Family Services","Downer","2602","ACT","2 Atherton Street, Unincorporated ACT","02 5134 6701","canberra@barnardos.org.au","https://www.barnardos.org.au","https://www.barnardos.org.au/contact-us/","family;children;vulnerable;welfare;child protection","Child welfare charity providing in-home family support — an important contact for autism workshop access for families in complex circumstances.","https://www.barnardos.org.au/centres/canberra/","2026-03-10","Non-denominational child protection charity.","","","","true","valid"
"Lifeline Canberra","NGOs/Charities (family, disability, mental health)","Canberra City","2601","ACT","Level 9 224 Bunda Street, Unincorporated ACT","02 6171 6300","lladmin@act.lifeline.org.au","https://www.lifelinecanberra.org.au","","crisis;mental health;suicide prevention;community","Crisis support organisation with broad community reach — can share autism workshop information with people in mental health distress and their carers.","https://www.lifelinecanberra.org.au/","2026-03-10","24/7 crisis line: 13 11 14.","","","","true","valid"
"Mental Health Community Coalition ACT","NGOs/Charities (family, disability, mental health)","Canberra City","2600","ACT","Room 1.06 Level 1 Griffin Centre 20 Genge Street, Unincorporated ACT","02 5104 7711","admin@mhccact.org.au","https://mhccact.org.au","","mental health;peak body;community;advocacy;sector","ACT peak mental health body — a strategic partner for autism workshop promotion given the intersection of autism and mental health.","https://mhccact.org.au/","2026-03-10","Peak body representing mental health community sector organisations in ACT.","","","","true","valid"
"Anglicare Canberra & Goulburn","NGOs/Charities (family, disability, mental health)","Canberra City","2601","ACT","Level 5 221 London Circuit, Unincorporated ACT","02 6245 7100","reception@anglicare.com.au","https://www.anglicare.com.au","https://www.anglicare.com.au/contact-us/","family;disability;community;youth;homelessness","Large Anglican welfare organisation delivering disability and family services across ACT — strong networks for autism workshop promotion.","https://www.anglicare.com.au/contact-us/","2026-03-10","Provides services from day centre in Holt. Also delivers early childhood and family programs.","","","","true","valid"
"St Vincent de Paul Society Canberra/Goulburn (Vinnies)","NGOs/Charities (family, disability, mental health)","Deakin","2600","ACT","Denison Street Deakin, Unincorporated ACT","02 6282 2722","","https://www.vinnies.org.au/act-surrounds","","welfare;community;crisis;faith;family","Community welfare provider with broad reach — can promote autism workshops through their extensive network of volunteers and service users.","https://www.vinnies.org.au/act-surrounds","2026-03-10","Assistance line: 13 18 12. Over 100 years serving the ACT community.","","","","true","missing"
"The Salvation Army Canberra City Corps","Faith-Based Community Organisations","Braddon","2612","ACT","2 Fawkner Street, Unincorporated ACT","02 6248 7191","","https://www.salvationarmy.org.au/locations/australian-capital-territory/accc/canberra-city-corps/","","faith;community;welfare;homelessness;crisis","Faith-based community hub serving vulnerable people — a contact for autism workshop promotion among families experiencing hardship.","https://www.salvationarmy.org.au/locations/australian-capital-territory/","2026-03-10","Provides worship; community meals; and social connection programs.","","","","true","missing"
"Canberra City Uniting Church","Faith-Based Community Organisations","Canberra City","2601","ACT","69 Northbourne Avenue, Unincorporated ACT","02 6257 4600","office@canberracityuca.org.au","https://canberracityuca.org.au","https://canberracity.uca.org.au/contact-us/","faith;community;social justice;inclusion","Active faith community with community outreach — can host or promote autism workshops through congregation networks.","https://canberracity.uca.org.au/contact-us/","2026-03-10","Hosts the Early Morning Centre community program on same premises.","","","","true","valid"
"Early Morning Centre (UnitingCare)","Community Centres & Neighbourhood Houses","Canberra City","2600","ACT","69 Northbourne Avenue, Unincorporated ACT","02 6247 5041","emcadmin@canberracityuca.org.au","https://www.emc.org.au","https://www.emc.org.au/contact/","homelessness;community;welfare;social inclusion;crisis","Provides meals and community hub services to vulnerable people — a channel for reaching marginalised families who may have autistic members.","https://www.emc.org.au/contact/","2026-03-10","Breakfast and community hub services. Located within Canberra City Uniting Church.","","","","true","valid"
"UnitingCare Kippax","Community Centres & Neighbourhood Houses","Holt","2615","ACT","Corner Hardwick Crescent & Luke Street, Unincorporated ACT","02 6254 1733","reception@kippax.org.au","https://kippax.uca.org.au","https://kippax.uca.org.au/contact-us/","community;Belconnen;family;welfare;west Canberra","Community services hub in west Belconnen — an effective distribution point for autism workshop information in that area.","https://kippax.uca.org.au/contact-us/","2026-03-10","Programs support low income and housing stressed households.","","","","true","valid"
"Weston Creek Community Centre","Community Centres & Neighbourhood Houses","Weston","2611","ACT","24 Whitney Place, Unincorporated ACT","02 6288 1144","","https://www.westoncccentre.org.au","","community centre;Weston Creek;neighbourhood;events","Community facility in Weston Creek area — useful venue for hosting autism workshops in the inner west of Canberra.","https://www.westoncccentre.org.au/","2026-03-10","Managed by the Weston Creek Community Association since 1978.","","","","true","missing"
"Hartley Lifecare","Disability & NDIS Services","Pearce","2607","ACT","6 Hodgson Place, Unincorporated ACT","02 6282 4411","","https://www.hartley.org.au","https://www.hartley.org.au/contact-us","disability;supported accommodation;NDIS;respite;complex needs","Long-established ACT disability organisation with over 35 supported homes — a natural partner for autism workshop promotion to families with high-support needs.","https://www.hartley.org.au/","2026-03-10","Not-for-profit providing supported accommodation since 1962.","","","","true","missing"
"Koomarri","Disability & NDIS Services","Phillip","2606","ACT","24 Launceston Street, Unincorporated ACT","02 6280 6143","","https://www.koomarri.com.au","https://www.koomarri.com.au/contactus","disability;intellectual disability;employment;NDIS;ABI","Specialist disability provider for intellectual disability and ABI — relevant for autism workshop promotion given overlapping client base.","https://www.koomarri.com.au/contactus","2026-03-10","65 years operating in ACT and NSW. Also has Belconnen office.","","","","true","missing"
"ADACAS (ACT Disability Aged & Carer Advocacy Service) — Older Persons Advocacy","Disability & NDIS Services","Weston","2611","ACT","Unit 14/6 Gritten Street, Unincorporated ACT","02 6242 5060","adacas@adacas.org.au","https://adacas.org.au","","advocacy;aged care;disability;carers;NDIS","Free advocacy for older people and carers — supports families of autistic adults seeking NDIS access and workshop information.","https://adacas.org.au/contact/","2026-03-10","Also covers aged care advocacy. TTY: 133 677.","","","","true","valid"
"Deaf Connect (Canberra)","Disability & NDIS Services","Holder","2611","ACT","Level 1B 27 Mulley Street, Unincorporated ACT","1800 893 885","","https://deafconnect.org.au","https://deafconnect.org.au/contact-us","deaf;hearing impaired;Auslan;disability;communication","Provides services to deaf and hard of hearing Australians — important for inclusive autism workshops where participants may be deaf-autistic.","https://deafsociety.org.au/contact/office/canberra-office","2026-03-10","Formerly known as The Deaf Society. Provides Auslan support and disability services.","","","","true","missing"
"Special Olympics ACT (Greater Canberra)","Sport, Recreation & Inclusion Programs","Belconnen","2617","ACT","42 Oatley Court, Unincorporated ACT","","act.membership@specialolympics.com.au","https://www.specialolympics.com.au","","disability sport;intellectual disability;inclusion;community;sport","Provides inclusive sport for people with intellectual disabilities — relevant for reaching families of autistic people through sport participation networks.","https://www.specialolympics.com.au/find-a-sport-near-me/act","2026-03-10","Basketball at 42 Oatley Court Belconnen and swimming at various venues.","","","","true","valid"
"Volunteering and Contact ACT","Community Centres & Neighbourhood Houses","Canberra City","2601","ACT","Level 2 202 City Walk (Griffin Centre 20 Genge Street), Unincorporated ACT","02 6251 4060","info@vc-act.org.au","https://volunteeringact.org.au","https://vc-act.org.au/contact-us/","volunteering;community;information;civic;peak body","Connects volunteers and community organisations — a key multiplier for autism workshop promotion through the ACT volunteer network.","https://vc-act.org.au/contact-us/","2026-03-10","Also provides community information and referral services.","","","","true","valid"
"Canberra Community Law","NGOs/Charities (family, disability, mental health)","Canberra City","2601","ACT","GPO Box 547 Canberra City, Unincorporated ACT","02 6218 7900","info@canberracommunitylaw.org.au","https://canberracommunitylaw.org.au","https://canberracommunitylaw.org.au/contact-us/","legal;disability;community;advocacy;welfare","Community legal centre with disability law expertise — can promote autism workshops to clients navigating NDIS and disability rights.","https://canberracommunitylaw.org.au/contact-us/","2026-03-10","Provides free legal services to disadvantaged Canberrans.","","","","true","valid"
"Karinya House","Early Childhood & Family Services","Kaleen","2617","ACT","PO Box 7239 Kaleen, Unincorporated ACT","02 6259 8998","","https://karinyahouse.asn.au","https://karinyahouse.asn.au/contact-us/","mothers;babies;family;crisis;women","Supports mothers and babies in crisis — can help promote autism workshops to vulnerable families with young children.","https://karinyahouse.asn.au/contact-us/","2026-03-10","24-hour contact line. Women and babies support charity.","","","","true","missing"
"Beryl Women Inc.","NGOs/Charities (family, disability, mental health)","Dickson","2602","ACT","PO Box 355 Dickson, Unincorporated ACT","02 6230 6900","admin@beryl.org.au","https://www.beryl.org.au","https://www.beryl.org.au/contacts/","women;DFV;crisis;accommodation;family","Crisis accommodation for women and children — a contact point for families in need who may include autistic children.","https://www.beryl.org.au/contacts/","2026-03-10","Provides crisis accommodation for women escaping domestic violence.","","","","true","valid"
"666 ABC Radio Canberra","Local Media & Community Promotion Channels","Dickson","2602","ACT","Corner Northbourne and Wakefield Avenues, Unincorporated ACT","02 6275 4555","","https://www.abc.net.au/listen/radio/canberra","","media;radio;community;promotion;ABC","ABC local radio station with strong Canberra community following — a valuable promotional channel for autism workshops and awareness campaigns.","https://www.abc.net.au/listen/radio/canberra","2026-03-10","Talkback: 1300 681 666. Text: 0467 922 666.","","","","true","missing"
"The Canberra Times","Local Media & Community Promotion Channels","Canberra City","2601","ACT","Level 1 121 Marcus Clarke Street, Unincorporated ACT","02 6280 2122","media.release@canberratimes.com.au","https://www.canberratimes.com.au","https://www.canberratimes.com.au/news/send-us-your-news/","media;newspaper;print;online;community","Major Canberra newspaper with local news reach — submit press releases for autism workshop promotion to community and feature editors.","https://www.canberratimes.com.au/contact/","2026-03-10","Accepts community press releases via media.release@canberratimes.com.au.","","","","true","valid"
"Region Canberra (region.com.au)","Local Media & Community Promotion Channels","Forrest","2603","ACT","Suite 1.4 28 National Circuit Forrest, Unincorporated ACT","","editor@region.com.au","https://region.com.au","https://region.com.au/contact/","media;online news;community;digital;Canberra","Free community news outlet widely read in Canberra — an accessible and free promotional channel for autism workshops and awareness events.","https://region.com.au/contact/","2026-03-10","Community news organisation. No paywall. Accepts community stories and events.","","","","true","valid"
"Canberra Multicultural Community Forum (CMCF)","Multicultural & Settlement Services","Canberra City","2601","ACT","Canberra City, Unincorporated ACT","","","https://cmcf.org.au","","multicultural;peak body;CALD;community;settlement","ACT peak body representing 112 multicultural community organisations — key strategic partner for reaching CALD communities about autism workshops.","https://cmcf.org.au/","2026-03-10","Represents multicultural community organisations across ACT.","","","","true","missing"
"ACT Government — Access Canberra (Civic)","Councils & Libraries","Canberra City","2601","ACT","300 Macquarie Street Civic, Unincorporated ACT","13 22 81","","https://www.accesscanberra.act.gov.au","","government;community;services;information","ACT Government service centre — high-traffic public venue for community information and autism workshop promotion displays.","https://www.accesscanberra.act.gov.au","2026-03-10","Government services including licences and community information.","","","","true","missing"
"ACT Government — Access Canberra (Gungahlin)","Councils & Libraries","Gungahlin","2912","ACT","5 Fussell Lane, Unincorporated ACT","13 22 81","","https://www.accesscanberra.act.gov.au","","government;community;services;information;Gungahlin","Government service centre in growing north Canberra suburb — prominent location for community autism workshop flyers.","https://www.accesscanberra.act.gov.au/contact-us/gungahlin","2026-03-10","Government services including licences and community information.","","","","true","missing"
"ACT Government — Access Canberra (Tuggeranong)","Councils & Libraries","Greenway","2900","ACT","Cowlishaw Street Tuggeranong, Unincorporated ACT","13 22 81","","https://www.accesscanberra.act.gov.au","","government;community;services;Tuggeranong;information","Government service centre for south Canberra — useful distribution point for autism workshop promotional materials.","https://www.accesscanberra.act.gov.au/contact-us/tuggeranong","2026-03-10","Government services including licences and community information.","","","","true","missing"
"ACT Government — Access Canberra (Belconnen)","Councils & Libraries","Belconnen","2617","ACT","Belconnen Town Centre, Unincorporated ACT","13 22 81","","https://www.accesscanberra.act.gov.au","","government;community;services;Belconnen;information","High-traffic government service centre in Belconnen — good venue for autism workshop promotion materials.","https://www.accesscanberra.act.gov.au/contact-us/belconnen","2026-03-10","Government services including licences and community information.","","","","true","missing"
"Canberra Health Services — Community Health","Health Services & Primary Health Networks","Garran","2605","ACT","Yamba Drive Garran, Unincorporated ACT","02 5124 9977","","https://www.canberrahealthservices.act.gov.au","","health;community health;allied health;therapy;public health","Government community health services — an important referral pathway for families of autistic people to workshop information and support services.","https://www.canberrahealthservices.act.gov.au/contact-us","2026-03-10","Mental health support line: 1800 629 354 (24/7).","","","","true","missing"
"Gungahlin Community Health Centre","Health Services & Primary Health Networks","Gungahlin","2912","ACT","1 Mustang Ave Gungahlin, Unincorporated ACT","02 6207 9977","","https://www.canberrahealthservices.act.gov.au/locations-and-directions/gungahlin-community-health-centre","","health;community;Gungahlin;allied health;north Canberra","Community health facility in Gungahlin — a key contact point for autism workshop promotion in the rapidly growing north.","","2026-03-10","Part of Canberra Health Services network.","","","","true","missing"
"Centenary Hospital for Women and Children","Health Services & Primary Health Networks","Garran","2605","ACT","Building 11 Yamba Drive, Unincorporated ACT","02 6207 9977","","https://www.canberrahealthservices.act.gov.au/locations-and-directions/centenary-hospital-for-women-and-children","","women;children;maternity;paediatric;health","Key paediatric hospital — staff support families with young autistic children and can share workshop information at point of diagnosis.","https://www.canberrahealthservices.act.gov.au/locations-and-directions/centenary-hospital-for-women-and-children","2026-03-10","Part of Canberra Health Services network.","","","","true","missing"
"Canberra Rape Crisis Centre","NGOs/Charities (family, disability, mental health)","Canberra City","2601","ACT","Canberra City (address confidential), Unincorporated ACT","02 6247 2525","crcc@crcc.org.au","https://crcc.org.au","https://crcc.org.au/contact-us/","women;sexual violence;trauma;crisis;counselling","Supports survivors of sexual violence — relevant for autism workshops covering safety and relationships for autistic people.","https://crcc.org.au/contact-us/","2026-03-10","Crisis line 7am–11pm daily. Physical address confidential.","","","","true","valid"
"Islamic School of Canberra","Faith-Based Community Organisations","Weston","2611","ACT","33 Heysen Street, Unincorporated ACT","","","https://www.islamicschoolofcanberra.act.edu.au","","faith;Islamic;Muslim;school;multicultural","Faith-based school serving Muslim families in Canberra — a channel for autism workshop promotion in the Muslim community.","https://www.islamicschoolofcanberra.act.edu.au/","2026-03-10","Co-educational independent school Kindy to Year 10.","","","","true","missing"
